,Unnamed: 0,Article_id,Venue,Title,Year,Abstract,Doi,fieldsOfStudy,topics,Downloadurl,TotalCitationCount,Influentialcitationcount
30,30,https://doi.org/10.1016/j.adaj.2015.06.023,Journal of the American Dental Association,measur up implement dental qualiti measur electron health record context,2016,background qualiti improv requir use qualiti measur implement valid manner use guidelin set forth meaning use portion health inform technolog econom clinic health act author assess feasibl perform autom electron meaning use dental clinic qualiti measur determin percentag children receiv fluorid varnish method author defin implement autom measur queri dental electron health record within record identifi autom queri author manual review subsampl assess perform queri result autom queri result reveal 710 patient fluorid varnish compar manual chart review result indic 776 patient fluorid varnish autom qualiti measur perform result indic 905 sensit 908 specif 969 posit predict valu 752 negat predict valu conclus author find support feasibl use autom dental qualiti measur queri context suffici structur data inform note free text rather structur data would requir use natur languag process approach effect queri electron health record practic implic particip selfdirect qualiti improv dental clinician must embrac account era commit qualiti requir enhanc document support nearterm autom calcul qualiti measur,10.1016/j.adaj.2015.06.023,Medicine,Dental Procedures,https://dl.acm.org/doi/pdf/10.1016/j.adaj.2015.06.023?download=true,20,1
31,31,https://doi.org/10.7860/JCDR/2016/16970.7453,Journal of clinical and diagnostic research : JCDR,dental informat india time embrac chang,2016,dental informat compar juvenil new field noteworthi potenti support clinic care research educ manag field util comput scienc inform scienc applic espous dentistri howev underdevelop develop countri almost dentist unacquaint dental informat goal capabl achiev mean get involv despit emerg advanc certain conflict also go along profession represent secur issu store inform due univers access comput high speed internet connect endnot softwar use resourc materi collect literatur care arrang synchron way henc purpos review give overal scenario dental informat applic challeng recommend enhanc area,10.7860/JCDR/2016/16970.7453,Computer Science Medicine,Positive Predictive Value of Diagnostic Test,https://dl.acm.org/doi/pdf/10.7860/JCDR/2016/16970.7453?download=true,6,2
32,32,https://doi.org/10.1007/978-3-319-17272-9_9,,appli hci principl design usabl system dentistri,2015,dentistri medicin demand practic team perform technic procedur dynam environ thrust electron world centuri reli upon paper document communic unlik medicin though dentistri abil document communic hamper lack adequ avail diagnost terminolog intern classif diseas icd long part parcel medic practic dentist access standard term describ procedur document gap thrown stark relief era electron health record structur data direct use secondari analysi chapter describ applic hci principl effort bring newli develop dental diagnost terminolog dental clinic implement dental ehr adequ budget time access broad spectrum commit stakehold includ ehr vendor practic dentist epidemiologist informatician abl follow iter participatori design approach refin terminolog interfac terminolog leaner approach heurist evalu alon would appropri access wealth resourc though scalingback would cours impact abil identifi address usabl challeng high collabor work undertaken effort enhanc profess dentistri narrow gap use secondari user data usabl perspect primari user,10.1007/978-3-319-17272-9_9,Computer Science,Patients,https://dl.acm.org/doi/pdf/10.1007/978-3-319-17272-9_9?download=true,1,0
33,33,https://doi.org/10.1016/J.JDS.2014.07.003,,develop dental informat dental inform technolog china systemat studi,2015,abstract backgroundpurpos dental informat di new emerg interdisciplin medic informat mi general dentistri dental inform technolog dit parallel research field purpos studi investig current situat di dit china evalu achiev analyz weak anticip futur develop materi method public di dit english chines journal intern chines research search literatur review fund support di dit china manual search di dit educ china analyz websit search telephon interview result investig indic china start research di dit field late 1970s develop becom rapid last 10 year chines intern public increas sharpli within last decad chines govern kept stabl increas invest di dit scientif project chines research made influenti achiev certain field di dit computeraid design computeraid manufactur cadcam develop applic computerassist manufactur facial prosthesi threedimension 3dassist dental educ conclus di dit develop rapid china recent year howev problem remain resolv,10.1016/J.JDS.2014.07.003,Medicine,Chart evaluation by healthcare professional,https://dl.acm.org/doi/pdf/10.1016/J.JDS.2014.07.003?download=true,2,0
34,34,https://doi.org/10.1016/j.adaj.2015.06.023,Journal of the American Dental Association,measur up implement dental qualiti measur electron health record context,2016,background qualiti improv requir use qualiti measur implement valid manner use guidelin set forth meaning use portion health inform technolog econom clinic health act author assess feasibl perform autom electron meaning use dental clinic qualiti measur determin percentag children receiv fluorid varnish method author defin implement autom measur queri dental electron health record within record identifi autom queri author manual review subsampl assess perform queri result autom queri result reveal 710 patient fluorid varnish compar manual chart review result indic 776 patient fluorid varnish autom qualiti measur perform result indic 905 sensit 908 specif 969 posit predict valu 752 negat predict valu conclus author find support feasibl use autom dental qualiti measur queri context suffici structur data inform note free text rather structur data would requir use natur languag process approach effect queri electron health record practic implic particip selfdirect qualiti improv dental clinician must embrac account era commit qualiti requir enhanc document support nearterm autom calcul qualiti measur,10.1016/j.adaj.2015.06.023,Medicine,Contain (action),https://dl.acm.org/doi/pdf/10.1016/j.adaj.2015.06.023?download=true,20,1
35,35,https://doi.org/10.1016/j.jebdp.2013.12.002,The journal of evidence-based dental practice,modifi approach dental code benefit person profession develop improv clinic outcom,2014,background one disadvantag remark achiev dentistri treatment option never vari confus made concept evidenc base dentistri applic modern dental practic despit merit concept wherebi clinic decis guid scientif evid problem establish scientif base challeng modern dentistri gap rapid develop productsprocedur evid base widen furthermor burden oral diseas continu remain high popul level problem prompt new approach enhanc research aim aim paper outlin modifi approach dental code may benefit clinic popul level research method materi use public assess data obtain australian chronic diseas dental scheme item code contain within australian schedul dental servic glossari suggest approach dental informat illustr result select item code select expand addit suffix suffix provid circumstanti inform assist assess clinic outcom success rate prognosi conclus use item code administ cdds yield larg databas item code code amen dental informat shown enhanc research clinic popul level cost effect method supplement exist research method,10.1016/j.jebdp.2013.12.002,Medicine,Charts (publication),https://dl.acm.org/doi/pdf/10.1016/j.jebdp.2013.12.002?download=true,1,0
36,36,https://doi.org/10.1136/amiajnl-2013-002230,AMIA,bigmouth multiinstitut dental data repositori,2014,oral health databas avail research advanc evidencebas dentistri work develop central data repositori deriv electron health record ehr four dental school particip consortium oral health research informat multistakehold committe develop data govern framework encourag data share allow control contribut data adopt i2b2 data wareh platform map data institut common refer terminolog realiz dental ehr urgent need adopt common terminolog use treatment code set three four site use common diagnost terminolog wide discrep medic dental histori document bigmouth success launch august 2012 data 11 million patient made avail user contribut institut,10.1136/amiajnl-2013-002230,Computer Science Medicine,Abducens Nerve Diseases,https://dl.acm.org/doi/pdf/10.1136/amiajnl-2013-002230?download=true,35,3
37,37,https://doi.org/10.2196/jmir.3343,Journal of medical Internet research,explor design requir repurpos dental virtual patient web second life focus group studi,2014,background sinc incept virtual patient provid health care educ way engag learner experi simul clinician environ without danger learner patient led learn modal accept essenti compon medic educ advent visual audiorich 3dimension multius virtual environ muve new deploy platform emerg educ content immers high interact multimediarich muve seamless foster collabor provid new hotb deploy medic educ content object work aim assess suitabl second life muve virtual patient deploy platform undergradu dental educ explor requir specif need meaning repurpos webbas virtual patient muve method script capabl avail art asset second life repurpos exist webbas periodontolog virtual patient second life seri pointandclick interact multiplechoic queri user experienc specif periodontolog case ask provid optim respons challeng case focus group 9 undergradu dentistri student experienc webbas second life version virtual patient group conven 3 time discuss relev issu group comput literaci assess second life virtual patient deploy platform compar webbas muvedeploy virtual patient result comparison webbas second life virtual patient reveal inher advantag experienti immers second life virtual environ howev sever challeng success repurpos virtual patient web muve identifi identifi challeng repurpos web virtual patient muve platform focus group studi 1 increas case complex facilit user game preconcept muve 2 necess decreas textual narrat provid pertin inform immers sensori way 3 requir allow user actuat solut problem instead describ narrat conclus success systemat repurpos effort virtual patient muve second life best practic experienti immers game design organ incorpor repurpos workflow autom find pivot era open educ content transfer share among user learner educ various open repositoriesenviron,10.2196/jmir.3343,Medicine,"Precipitating Factors,Electronic Health Records,Pain,soft tissue,Classification,Adverse event,Traumatic injury,common types,Dental Procedures,Positive Predictive Value of Diagnostic Test,Patients,Chart evaluation by healthcare professional,Contain (action),Charts (publication),Abducens Nerve Diseases",https://dl.acm.org/doi/pdf/10.2196/jmir.3343?download=true,46,0
38,38,https://doi.org/10.4103/1357-6283.152194,Education for health,awar attitud student one indian dental school toward inform technolog use improv patient care,2014,background mani obstacl need overcom digit electron technolog fulli integr oper dental clinic countri obstacl may physic technic psychosoci barrier form percept attitud relat softwar incompat patient privaci interfer patientpractition relationship object studi assess percept indian dental student one school toward use digit technolog improv dental practic willing use digit electron technolog perceiv obstacl use digit electron technolog dental care setup attitud toward internet privaci issu method studi popul consist 186 final year undergradu dental student b shetti memori institut dental scienc rajiv gandhi univers health scienc mangalor india survey data analyz descript result student indic inform technolog enhanc patient satisfact qualiti dental record diagnosi treatment plan doctordoctor communic cost equip need technic train regard major obstacl substanti proport respond discuss dental student school feel inform technolog support decis make diagnos devis effect treatment plan turn increas patient satisfact qualiti care student also perceiv lack technic knowledg high cost implement major barrier develop inform technolog india,10.4103/1357-6283.152194,Medicine,,https://dl.acm.org/doi/pdf/10.4103/1357-6283.152194?download=true,6,0
39,39,https://doi.org/10.1177/0022034513487560,Journal of dental research,use electron dental record data research,2013,anecdot evid suggest clinic care process mani dental practic record data also collect dental practic base research network pbrn studi sinc use exist electron store data research multipl benefit investig overlap research data field use dental pbrn studi clinic data field typic found general dental record map 734 uniqu data element dental inform model dim 2487 common data element cde curat nidcr pbrns cancer data standard registri repositori cadsr thirtythre percent dim data element match least one cde complet 9 partial translat 9 2 respect data element use pbrn studi frequent use cdes found dim includ data dental anatomi medic item oral biopsi cari studi show nontrivi number data element general dental record map either complet partial data field research studi studi investig feasibl electron clinic data research purpos,10.1177/0022034513487560,Medicine,,https://dl.acm.org/doi/pdf/10.1177/0022034513487560?download=true,17,0
40,40,https://doi.org/10.1016/j.jdent.2013.04.006,Journal of dentistry,reus electron patient data dental clinic research review current status,2013,object reus electron patient data collect clinic care receiv increas attent way increas evid base purpos paper review studi reus electron patient data dental research data sourc 1527 citat obtain search medlin embas databas handsearch seven dental informat journal snowbal sampl studi select includ studi reus electron patient data research dental craniofaci topic alon combin medic condit medic outcom studi use administr research databas systemat review exclud three review extract data independ perform analysi joint result 60 studi review cover epidemiolog 32 studi outcom 16 health servic research 10 2 topic primarili retrospect 58 studi vari signific sampl size 9153619 patient followup period 112 year often drew data sourc addit electron one 25 rare tap electron dental record edr data privat practic 3 type research associ data sourc use research topicsquest common report advantag reus electron data abl studi larg sampl save time data qualiti inabl captur studyspecif data identifi major limit conclus dental research reus electron patient data nascent acceler futur edr design focus enhanc data qualiti begin integr research data collect implement interoper electron medic record facilit oralsystem investig clinic signific measur improv qualiti dental care requir begin reus electron patient data collect practic clinic research practic data potenti serv use complement data collect tradit research studi,10.1016/j.jdent.2013.04.006,Medicine,Design rationale,https://dl.acm.org/doi/pdf/10.1016/j.jdent.2013.04.006?download=true,24,2
41,41,https://doi.org/10.14219/JADA.ARCHIVE.2013.0229,Journal of the American Dental Association,dental care provid patient percept effect health inform technolog dental care set,2013,background use electron health record ehr dental care effect dental care providerpati interact studi suffici author conduct studi explor dental care provid interact ehr patient visit interact influenc dental care providerpati communic provid patient percept ehr use dental clinic set patient visit method author collect survey interview data patient provid three dental clinic health care system author use qualit quantit method analyz data obtain patient dental care provid result provid survey result show signific differ percept ehr use patient visit across dental care provid group dentist dental hygienist dental assist patient survey result indic patient experienc certain level frustrat distract provid use ehr visit conclus provid survey result indic differ percept across provid group ehr effect comput use communic patient dental assist general report negat effect communic patient owe comput use interview result also indic dental care provid may feel comfort interact ehr without verbal eye contact patient patient dental visit practic implic new design dental operatori locat comput screen within operatori undertaken prevent negat nonverb communic loss eye contact forc provid patient sit back back well enhanc patient educ inform share,10.14219/JADA.ARCHIVE.2013.0229,Medicine,Closing (morphology),https://dl.acm.org/doi/pdf/10.14219/JADA.ARCHIVE.2013.0229?download=true,5,0
42,42,https://doi.org/10.1016/j.ijmedinf.2013.06.007,Int. J. Medical Informatics,develop initi valid content taxonomi patient record general dentistri,2013,object develop valid initi content taxonomi patient record general dentistri method phase 1 obtain 95 deidentifi patient record 11 general dentist unit state phase 2 extract individu data field inform item explicit label implicit unlabel record organ categori mirror origin field context phase 3 refin raw list inform item elimin duplicatesredund focus general dentistri phase 4 valid item regard inclus import use tworound delphi studi panel 22 general dentist activ clinic practic educ research result analysi 76 patient record 9 dentist combin previous work yield raw list 1509 inform item refin reduc list 1107 item subsequ rate delphi panel final model contain 870 item 761 88 rate mandatori round 1 95 825 final item accept round 2 remain 5 45 45 item initi list reject 192 17 remain equivoc conclus ground realiti clinic practic propos content taxonomi repres signific advanc exist guidelin standard provid granular comprehens inform represent general dental patient record offer signific foundat asset implement interoper health inform technolog infrastructur general dentistri,10.1016/j.ijmedinf.2013.06.007,Medicine Computer Science,"Design rationale,Closing (morphology)",https://dl.acm.org/doi/pdf/10.1016/j.ijmedinf.2013.06.007?download=true,2,0
43,43,https://doi.org/10.14219/JADA.ARCHIVE.2013.0013,Journal of the American Dental Association,electron dental record use clinic inform manag pattern among practitionerinvestig dental practicebas research network,2013,background grow avail electron data offer practition increas opportun reus clinic data research qualiti improv howev relat littl known clinic data practition keep comput regard patient method author conduct webbas survey 991 us scandinavian practitionerinvestig pis dental practicebas research network determin extent use comput manag clinic inform type patient inform kept paper comput willing reus electron dental record edr data research result total 729 736 percent 991 pis respondeda total 738 percent us solo practition 787 percent group practition use comput manag patient inform 143 percent 159 percent respect manag patient inform comput us practition store appoint treatment plan complet treatment imag electron frequent periodont chart diagnosi medic histori progress note chief complaint least frequentlymor 90 percent scandinavian practition store inform electronicallya total 508 percent pis will reus edr data research 631 percent prefer electron form data collect conclus result studi show trend toward increas adopt edr unit state continu potenti make data electron form avail research particip appear will reus edr data research collect data electron clinic implic rise rate edr adopt may offer increas opportun reus electron data qualiti improv research,10.14219/JADA.ARCHIVE.2013.0013,Medicine,Electronic Health Records,https://dl.acm.org/doi/pdf/10.14219/JADA.ARCHIVE.2013.0013?download=true,35,2
44,44,https://doi.org/10.1371/journal.pone.0067862,PloS one,dental informat character patient dentofaci deform,2013,relev statist model analysi dental data improv diagnost treatment procedur purpos studi demonstr use various data mine algorithm character patient dentofaci deform total 72 patient skelet malocclus complet orthodont orthognath surgic treatment examin patient character 22 measur relat dentofaci deform cluster analysi visual group patient three differ pattern dentofaci deform featur select approach base fals discoveri rate use identifi subset 22 measur import categor three cluster final classif perform evalu qualiti measur select featur select approach result show featur select improv classif accuraci simultan determin measur relev,10.1371/journal.pone.0067862,Medicine,Oral health,https://dl.acm.org/doi/pdf/10.1371/journal.pone.0067862?download=true,4,0
45,45,https://doi.org/10.5455/aim.2012.20.47-55,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,inform system dentistri,2012,introduct almost entir human creativ today standpoint effici expedi condit exist inform system inform system orient manag decisionmak includ health inform system system health health insur togeth form one import segment societi function compact unit increas requir reduc health care cost preserv improv qualiti servic provid repres difficult task health system materi method use descript metod retreiiv literatur analyz latest solut inform telecommun technolog basi build effect effici health system computer primari object save ration spend health care estim least 2030 money spent health care ration util computer give necessari data indic ration import goal project achiev use benefit improv overal care patient policyhold increas speed accuraci diagnosi determin treatment use electron diagnost therapeut guidelin result discuss computer dentistri began similar human activities–record larg amount data digit media replac manual data process machin one specif dental profess led specif applic inform technolog continu requir special develop dental orient appli harmon dental softwar global standard enabl doctor dentist mous click via internet reach general medic inform patient central nation health databas standard also allow access general medic dental histori data citizen foreign countri seek help doctor dentist vacat method use provid higher level health servic better health care also identif procedur mass disast avail data contribut acceler identif victimsdent inform system late base web applic facilit data exchang electron patient record contain basic inform enter data automat creat protocol patient printedbesid general data electron patient record also contain histori data relat allergi diseas exist signific affect treatment data current diagnosi locat patholog process tooth refer follow locat mesial distal vestibular oral occlus teeth therapi tooth type materi use locat tooth system may defin also surgic procedur perform teeth tooth extract tooth root resect abil accur indic root resect implant upgrad grind teeth independ crown defin tooth right place tooth miss special design graphic represent teeth enabl enter data first click tooth place also occas open menu option control data entri prevent entri illog data conclus system accord hl7 standard repres electron document elimin need paper document varieti daili month report doctor still use today doctor nurs almost complet freed administr task,10.5455/aim.2012.20.47-55,Computer Science Medicine,Academic Medical Centers,https://dl.acm.org/doi/pdf/10.5455/aim.2012.20.47-55?download=true,10,1
46,46,https://doi.org/10.4103/0973-029X.92979,Journal of oral and maxillofacial pathology : JOMFP,evolut dental informat major research tool oral patholog,2012,bioinformat relat new field scienc incorpor principl biolog comput scienc main concern collect store retriev data larg databas ever sinc success complet human genom project exponenti growth volum biolog data generat worldwid evolut bioinformat made possibl access databas appli inform better research one disciplin benefit advent bioinformat oral patholog oral patholog branch dentistri deal diseas head neck region remark progress made diagnosi treatment diseas aid bioinformat articl attempt review evolut progress dental informat specialti applic oral patholog,10.4103/0973-029X.92979,Computer Science Medicine,Dental Records,https://dl.acm.org/doi/pdf/10.4103/0973-029X.92979?download=true,6,0
47,47,https://doi.org/10.1002/J.0022-0337.2012.76.1.TB05241.X,Journal of dental education,inform technolog informat inform revolut dental educ,2012,capabl inform technolog advanc precipit last fifti year mani advanc enabl new benefici applic dental educ howev conceptu use dental school infanc challeng opportun abound improv support clinic care educ research clinic care need move electron dental record beyond replic paper connect inform oral health system health facilit collabor care teledentistri help clinician appli evidencebas dentistri prevent manag strategi respect educ adopt evidencebas approach use teach learn share effect educ content method leverag technologymedi chang balanc power faculti student improv technolog support clinic teach build inform infrastructur center learner organ research opportun includ reus clinic care data research studi help advanc comput method research appli generaliz research tool dentistri reus research data scientif workflow process transit focus itth mere technic aspect appli comput technologyto one informat manag inform,10.1002/J.0022-0337.2012.76.1.TB05241.X,Medicine,Diagnostic tests,https://dl.acm.org/doi/pdf/10.1002/J.0022-0337.2012.76.1.TB05241.X?download=true,58,2
48,48,https://doi.org/10.1111/j.1601-0825.2011.01794.x,Oral diseases,advanc oral medicin informat inform technolog propos framework strategi,2011,implement inform technolog healthcar signific focus mani nation around world howev inform technolog support clinic care research educ oral medicin current poor develop situat hamper abil transform oral medicin learn healthcar disciplin divid clinic practic research diminish ultim elimin paper review need requir inform technolog support oral medicin propos agenda design meet need oral medicin agenda includ analyz review current clinic document practic work toward progress standard clinic data help defin requir oral medicin system profession contribut conduct baselin studi use electron system help develop control vocabulari ontolog design implement evalu novel system center need clinician research educ success advanc support oral medicin requir close coordin collabor among oral medicin profession inform technolog profession system vendor fund agenc current barrier obstacl overcom practic research oral medicin stand readi deriv signific benefit applic inform technolog,10.1111/j.1601-0825.2011.01794.x,Medicine,"Electronic Health Records,Oral health,Academic Medical Centers,Dental Records,Diagnostic tests",https://dl.acm.org/doi/pdf/10.1111/j.1601-0825.2011.01794.x?download=true,27,0
49,49,https://doi.org/10.1007/978-1-4471-2185-5_4,Integration of Medical and Dental Care and Patient Data,broader consider medic dental data integr,2011,dental health insur coverag unit state either nonexist medicar uninsur spotti medicaid limit employerbas privat benefit plan perhap result dental health unit state good public polici maker may appreci may well impact medic care cost way improv dental benefit would produc substanti return invest expand dental insur coverag,10.1007/978-1-4471-2185-5_4,Business Computer Science,Electronic Health Records,https://dl.acm.org/doi/pdf/10.1007/978-1-4471-2185-5_4?download=true,1,0
50,50,https://doi.org/10.4103/2231-0762.97695,Journal of International Society of Preventive & Community Dentistry,applic teledentistri literatur review updat,2011,teledentistri combin telecommun dentistri involv exchang clinic inform imag remot distanc dental consult treatment plan teledentistri abil improv access oral healthcar improv deliveri oral healthcar lower cost also potenti elimin dispar oral health care rural urban communiti articl review origin rational scope basi requir teledentistri along current evid exist literatur articl also review ethic legal issu relat practic teledentistri futur altern innov method deliv dental care,10.4103/2231-0762.97695,Medicine,Structure of permanent tooth,https://dl.acm.org/doi/pdf/10.4103/2231-0762.97695?download=true,131,6
51,51,https://doi.org/10.14219/JADA.ARCHIVE.2011.0082,Journal of the American Dental Association,effect electron health record use clinic care guidelin patient medic complex condit,2011,background emerg health inform technolog provid opportun health care provid improv qualiti safeti dental care particular patient medic complex condit method author random 15 dental clinic healthpartn bloomington minn one three group evalu impact two clinic decis support cds approach 18month studi period first approachprovid activ electron dental record edrsa flash alert generat dental visit identifi patient medic complex condit direct dental care provid webbas person care guidelin second approachpati activ person health recordsa secur email generat letter mail patient dental visit encourag ask dental care provid review care guidelin specif medic condit result author evalu rate review care guidelin among 102 provid particip provid patient activ group increas use system first six month general effect increas use guidelin patient even part studi p 05 studi result show provid activ effect patient activ howev provid sustain high level use system end studi rate use return baselin level despit particip continu receipt electron alert conclus studi result demonstr review clinic care guidelin patient medic complex condit improv cds system involv use electron health record clinic implic us popul age dentist must vigil adapt care patient medic complex condit ensur therapeut safeti effect expand use cds via edr help dental care provid achiev object,10.14219/JADA.ARCHIVE.2011.0082,Medicine,Lobular Neoplasia,https://dl.acm.org/doi/pdf/10.14219/JADA.ARCHIVE.2011.0082?download=true,17,3
52,52,https://doi.org/10.6026/97320630005307,Bioinformation,dental informat onlin communiti,2011,dental informat di applic comput inform scienc improv dental practic research educ program administr support growth emerg disciplin creat dental informat onlin communiti dioc dioc provid dedic profession home di research serv open common worldwid forum individu interest field creat maintain center dental informat univers pittsburgh school dental medicin independ profession associ corpor interest fund sourc dioc websit provid mani use featur learn center public archiv member project directori current awar servic cas cas automat notifi member new inform ad communiti notif individu accord member profil activ site dioc researchori onlin communiti provid resourc dental informat dental technolog field well way establish social connect share idea problem research opportun member activ growth sinc communiti incept 2005 steadi futur sustain communiti depend mani factor,10.6026/97320630005307,Medicine,Epidemiology,https://dl.acm.org/doi/pdf/10.6026/97320630005307?download=true,1,0
53,53,https://doi.org/10.1186/1472-6947-10-7,BMC Medical Informatics Decis. Mak.,inform system support inform need general dentist clinic set suggest qualit studi,2010,backgrounda major challeng design use clinic inform system dentistri incorpor clinic evid base dentist inform need integr system seamless complex clinic workflow howev littl known actual inform need dentist treatment session purpos studi identifi general dentist inform need inform sourc use meet need clinic set inform design dental inform systemsmethodsa semistructur interview conduct conveni sampl 18 general dentist pittsburgh area clinic hour one hundr five patient case report dentist interview transcript code analyz use themat analysi constant compar method identifi categori theme regard inform need inform sourc use patternsresultstwo toplevel categori inform need identifi foreground background inform need meet need dentist use four type inform sourc clinic informationtask administr task patient educ profession develop major theme dentist unmet inform need includ 1 time access inform various subject 2 better visual represent dental problem 3 access patientspecif evidencebas inform 4 accur complet consist document patient record resourc use pattern includ 1 dentist inform need match inform sourc use 2 littl use electron sourc took place treatment 3 sourc use depend natur complex dental problem 4 dentist routin practic crossreferenc verifi patient informationconclusionsdentist various inform need point care among need better visual represent patientspecif evidencebas inform most unmet patient record support staff remain use inform sourc electron sourc electron dental record edr rare util patient visit futur develop dental inform clinic decisionsupport system develop consid integr highqual uptod clinic evid comprehens easili access edr well support dentist resourc use pattern identifi studi,10.1186/1472-6947-10-7,Medicine Computer Science,Oral health,https://dl.acm.org/doi/pdf/10.1186/1472-6947-10-7?download=true,39,0
54,54,https://doi.org/10.3163/1536-5050.98.2.014,Journal of the Medical Library Association : JMLA,survey biomed health care informat program unit state,2010,informat classic definit scienc studi “the represent process communic inform natur artifici systems” 1 pragmat “a disciplin focus acquisit storag use inform specif set domain” 2 health care biomed scienc informat also increas describ profess still earli stage develop 3 continu selfidentif differ subfield informat particular relat biomedicin health care scientif disciplin profess one aspect defin profess subspecialti within establish set agre upon compet correspond educ curricula 3 yet number program “with informat names” grow program vari substanti level scope 4 survey attempt provid snapshot current pictur informat train program relat biomedicin health care unit state purpos survey twofold first survey intend resourc student educ informat profession second compil detail inform exist educ opportun attempt contribut definit various informat subspecialti fifth generat survey informat program conduct research group previous survey publish onlin 5 first three survey carri annual 2002–2004 focus bioinformat program recent iter 2006 current 2008 version move biannual schedul broaden survey scope encompass medic health nurs dental relat informat program latest survey present paper also signific expand inform categori use describ program paid special attent group program list better correspond various informat subdisciplin number web resourc provid similar inform intern societi comput biolog list degre certif program 6 american medic informat associ list train program 7 survey differ resourc sever import way cut across divers biomed health informat subspecialti provid specif detail inform program present inform way facilit comparison program within subspecialti,10.3163/1536-5050.98.2.014,Medicine,Root Caries,https://dl.acm.org/doi/pdf/10.3163/1536-5050.98.2.014?download=true,7,1
55,55,https://doi.org/10.1053/j.sult.2010.01.003,"Seminars in ultrasound, CT, and MR",pediatr advanc imag informat state art,2010,pediatr imag forefront radiolog innov sinc day roentgen past 2 decad evolv comput technolog sophist softwar algorithm rapid advanc pediatr radiolog examin acquir display interpret communic store retriev costeffect use state art technolog requir fundament knowledg modal workstat informat guid advanc pediatr imag current digit era equal import understand advanc clinic applic evid support use first part review articl brief introduct histor overview technic principl discuss follow review advanc clinic applic fetal cardiovascular central nervous system neck thorac gastrointestin genitourinari musculoskelet virtualautopsi imag,10.1053/j.sult.2010.01.003,Medicine,Odontogenic Tissue,https://dl.acm.org/doi/pdf/10.1053/j.sult.2010.01.003?download=true,14,2
56,56,https://doi.org/10.1016/j.ijmedinf.2008.07.003,Int. J. Medical Informatics,patient attitud toward onlin dental inform webbas virtual realiti program clinic dentistri pilot investig china,2009,object research investig 1 attitud dental patient toward search onlin dental inform 2 patient attitud expect toward webbas 3d virtual realiti program clinic dentistri method questionnair survey conduct six clinic across two citi china dental patient visit six clinic invit particip studi subject brows webpag contain 3d virtual realiti dental program new media supplement consult system patient tradit pattern seek dental care procedur subject complet questionnair detail attitud toward experi softwar questionnair respons collect analyz result 45 respond report search inform onlin receiv dental care respond held differ attitud toward onlin dental inform major report relianc reserv 50 respond held posit attitud webbas virtual realiti dental inform program 21 report negat view toward new method respond report webbas virtual realiti program superior tradit static web page supplementari materi respond also indic internet speed may like major determin futur usag system conclus find indic consider portion respond conduct internet search relat dental inform seek profession advic dental care respond report posit attitud toward webbas virtual realiti program clinic dentistri howev current speed internet connect china major area concern futur applic uptak webbas virtual realiti dental softwar,10.1016/j.ijmedinf.2008.07.003,Medicine Computer Science,Patients,https://dl.acm.org/doi/pdf/10.1016/j.ijmedinf.2008.07.003?download=true,13,1
57,57,https://doi.org/10.1016/j.ijmedinf.2009.04.004,Int. J. Medical Informatics,data mine clinic oral health document analysi longev differ restor materi finland,2009,evidencebas dentistri shown differ restor materi differ surviv time primari hypothesi reveal normal dental record use data mine techniqu practicebas dentistri approach analys scientif sound way dental record 1626 patient altogeth 19892 restor three finnish age cohort analys surviv curv kaplanmei drawn restor materi median surviv time amalgam resinbas composit 15 year older cohort 60 silic cement restor replac within 5 year 50 glass ionom within 7 year signific reduct longev amalgam 1980 cohort data mine digit oral heath document would use tool analys surviv curv new restor materi practicebas manner reallif condit,10.1016/j.ijmedinf.2009.04.004,Medicine Computer Science,ethylene dichloride,https://dl.acm.org/doi/pdf/10.1016/j.ijmedinf.2009.04.004?download=true,27,0
58,58,https://doi.org/10.14219/JADA.ARCHIVE.2008.0105,Journal of the American Dental Association,usabl evalu four commerci dental computerbas patient record system,2008,background usabl dental computerbas patient record cpr system studi despit earli evid poor usabl problem dental cpr system user multipl level method author conduct formal usabl test four dental cpr system use purpos sampl four group five novic user author measur task outcom correct complet incorrect complet incomplet cpr system particip perform nine clinic document task well number usabl problem identifi cpr system potenti relationship task outcom author review softwar applic design aspect respons usabl problem result rang correct complet task 16 64 percent incorrect complet task 18 38 percent incomplet task 9 47 percent author identifi 286 usabl problem main type three unsuccess attempt negat affect task incorrect complet also identifi six problemat interfac interact design led usabl problem conclus four dental cpr system studi signific usabl problem novic user result steep learn curv potenti reduc system adopt clinic implic signific number data entri error rais concern qualiti document clinic practic,10.14219/JADA.ARCHIVE.2008.0105,Medicine Engineering,Linen Ab.IgE:ACnc:Pt:Ser:Qn,https://dl.acm.org/doi/pdf/10.14219/JADA.ARCHIVE.2008.0105?download=true,45,2
